Rank	Name	RegType	Chrom	Start	End	Strand	ScorePerCodon	NumCodons	Bls	AntiScorePerCodon	ScoreDiff	Parent	SvmScore	SvmAntisenseScore
1465	chr17:56593819-56593854+	NoOverlap	chr17	56593819	56593854	+	11.952625	12	0.657	6.81988333333	5.13274166667	NA	0.0831447001375	0.535762684199
1466	chr17:29376958-29377011-	NoOverlap	chr17	29376958	29377011	-	1.68303888889	18	0.9983	-0.687927777778	2.37096666667	NA	0.0831348718662	0.488498915956
1467	chr17:78360107-78360256-	NoOverlap	chr17	78360107	78360256	-	1.972738	50	0.4449	0.132838	1.8399	NA	0.0829283912674	0.642333939763
1468	chr17:61381159-61381185+	NoOverlap	chr17	61381159	61381185	+	5.81063333333	9	0.998	-0.408455555556	6.21908888889	NA	0.0827847492832	0.618011394348
1469	chr17:65529358-65529399-	NoOverlap	chr17	65529358	65529399	-	8.44137142857	14	0.8565	4.41391428571	4.02745714286	NA	0.0825991868618	0.51363616737
1470	chr17:29005992-29006051-	NoOverlap	chr17	29005992	29006051	-	5.87538	20	0.8103	3.36916	2.50622	NA	0.0824994658439	0.483650705452
1471	chr17:5181184-5181294-	NoOverlap	chr17	5181184	5181294	-	3.80384054054	37	0.5347	-3.63820540541	7.44204594595	NA	0.0822238756653	0.894668859282
1472	chr17:49968651-49968689+	NoOverlap	chr17	49968651	49968689	+	7.61038461538	13	0.8056	-7.96666153846	15.5770461538	NA	0.0821628225389	1.0333629736
1473	chr17:74748423-74748455-	NoOverlap	chr17	74748423	74748455	-	5.78562727273	11	0.9466	-4.88836363636	10.6739909091	NA	0.0821627314059	0.860240353888
1474	chr17:75894818-75894871-	NoOverlap	chr17	75894818	75894871	-	9.75646666667	18	0.4612	4.99822222222	4.75824444444	NA	0.0819543700487	0.583960220735
1475	chr17:1562512-1562538-	NoOverlap	chr17	1562512	1562538	-	12.4661888889	9	0.8816	9.49691111111	2.96927777778	NA	0.0819195862181	0.372712023403
1476	chr17:46832433-46832477+	NoOverlap	chr17	46832433	46832477	+	4.02819333333	15	0.9905	3.20581333333	0.82238	NA	0.0817371842962	0.36572723517
1477	chr17:48492666-48492704-	NoOverlap	chr17	48492666	48492704	-	6.54404615385	13	0.9457	3.04351538462	3.50053076923	NA	0.0816918082515	0.487716918562
1478	chr17:64661992-64662042+	NoOverlap	chr17	64661992	64662042	+	2.17829411765	17	0.3867	1.17907647059	0.999217647059	NA	0.0815677190733	0.403003889195
1479	chr17:1734196-1734222+	NoOverlap	chr17	1734196	1734222	+	6.4153	9	1.0	2.56666666667	3.84863333333	NA	0.0814364734903	0.478093899482
1480	chr17:72018544-72018570+	NoOverlap	chr17	72018544	72018570	+	5.50283333333	9	0.9547	-9.27884444444	14.7816777778	NA	0.0812718412154	0.980013641271
1481	chr17:61196405-61196461+	NoOverlap	chr17	61196405	61196461	+	1.34065263158	19	1.0	-0.107778947368	1.44843157895	NA	0.0810566219858	0.445774090912
1482	chr17:61209578-61209619-	NoOverlap	chr17	61209578	61209619	-	3.05711428571	14	0.989	-3.02961428571	6.08672857143	NA	0.0810375700176	0.661454803181
1483	chr17:48555839-48555892+	NoOverlap	chr17	48555839	48555892	+	5.31898333333	18	0.9009	2.91284444444	2.40613888889	NA	0.0809820225881	0.467300048043
1484	chr17:49574672-49574704-	NoOverlap	chr17	49574672	49574704	-	5.52892727273	11	0.9878	1.15260909091	4.37631818182	NA	0.080923525953	0.53094741691
1485	chr17:41654149-41654187+	NoOverlap	chr17	41654149	41654187	+	6.00513846154	13	0.9396	-0.1614	6.16653846154	NA	0.0808475595104	0.64806813999
1486	chr17:51259817-51259897-	NoOverlap	chr17	51259817	51259897	-	1.40828888889	27	0.9055	-0.263777777778	1.67206666667	NA	0.0808196371077	0.506670593258
1487	chr17:46193348-46193395-	NoOverlap	chr17	46193348	46193395	-	3.068825	16	0.3894	1.58429375	1.48453125	NA	0.0807796079366	0.416867298499
1488	chr17:48555535-48555627-	NoOverlap	chr17	48555535	48555627	-	0.0544967741935	31	0.9252	0.553138709677	-0.498641935484	NA	0.0804146431807	0.417597316728
1489	chr17:5282205-5282234-	NoOverlap	chr17	5282205	5282234	-	12.27356	10	0.7838	5.4788	6.79476	NA	0.0801549973001	0.611612737674
1490	chr17:44111192-44111254+	NoOverlap	chr17	44111192	44111254	+	2.55345714286	21	0.9408	-0.0732857142857	2.62674285714	NA	0.0801513168998	0.517804041808
1491	chr17:37117887-37117934-	NoOverlap	chr17	37117887	37117934	-	2.59140625	16	1.0	0.551925	2.03948125	NA	0.0799737027247	0.451536338064
1492	chr17:56593389-56593514-	NoOverlap	chr17	56593389	56593514	-	4.45691428571	42	0.534	2.73355238095	1.72336190476	NA	0.0799647044616	0.578452641238
1493	chr17:48605133-48605189-	NoOverlap	chr17	48605133	48605189	-	2.28224210526	19	0.9872	2.10428947368	0.177952631579	NA	0.0797502350575	0.368598965793
1494	chr17:50189705-50189740+	NoOverlap	chr17	50189705	50189740	+	3.3154	12	0.9892	-5.52585833333	8.84125833333	NA	0.0795654544659	0.784808870709
1495	chr17:64778479-64778520+	NoOverlap	chr17	64778479	64778520	+	3.74686428571	14	0.3885	2.85305	0.893814285714	NA	0.0793399827462	0.366261198235
1496	chr17:51219522-51219566-	NoOverlap	chr17	51219522	51219566	-	3.00382666667	15	0.9984	0.35764	2.64618666667	NA	0.0793391304564	0.476515086304
1497	chr17:68530672-68530704+	NoOverlap	chr17	68530672	68530704	+	5.55997272727	11	0.9779	-0.299072727273	5.85904545455	NA	0.0790972305797	0.615985027129
1498	chr17:181429-181515+	NoOverlap	chr17	181429	181515	+	2.41775862069	29	0.4148	0.737703448276	1.68005517241	NA	0.0790083300454	0.513440387484
1499	chr17:45597769-45597837-	NoOverlap	chr17	45597769	45597837	-	4.76029565217	23	0.4434	-3.84938695652	8.6096826087	NA	0.0789891367246	0.863465650129
1500	chr17:75183106-75183207+	NoOverlap	chr17	75183106	75183207	+	-0.550911764706	34	0.8958	-1.50173823529	0.950826470588	NA	0.0787024111989	0.518631867772
1501	chr17:63151112-63151162-	NoOverlap	chr17	63151112	63151162	-	3.42344117647	17	0.98	2.76801764706	0.655423529412	NA	0.0786119119847	0.373494105404
1502	chr17:4499962-4500006+	NoOverlap	chr17	4499962	4500006	+	4.347	15	0.9652	0.808433333333	3.53856666667	NA	0.0785422519384	0.519679488085
1503	chr17:57679556-57679603-	NoOverlap	chr17	57679556	57679603	-	2.79425	16	1.0	1.5934875	1.2007625	NA	0.0785048631427	0.403217431128
1504	chr17:79611246-79611302+	NoOverlap	chr17	79611246	79611302	+	6.09849473684	19	0.4164	4.94636842105	1.15212631579	NA	0.0780578144292	0.392725009234
1505	chr17:57988168-57988335-	NoOverlap	chr17	57988168	57988335	-	0.641939285714	56	0.6148	0.997908928571	-0.355969642857	NA	0.077943367381	0.551603759498
1506	chr17:64854765-64854809-	NoOverlap	chr17	64854765	64854809	-	10.6334933333	15	0.5572	1.34440666667	9.28908666667	NA	0.0779135276717	0.812051584266
1507	chr17:39530589-39530645-	NoOverlap	chr17	39530589	39530645	-	1.1167	19	0.998	-1.12261052632	2.23931052632	NA	0.0778843627434	0.490668738377
1508	chr17:80991888-80991917-	Extension	chr17	80991888	80991917	-	2.85878	10	0.3822	-1.08229	3.94107	chr17:80991888-80991974-	0.0777125475579	0.515207195249
1509	chr17:7887792-7887818-	NoOverlap	chr17	7887792	7887818	-	8.85553333333	9	0.9534	4.45108888889	4.40444444444	NA	0.0777073800399	0.490104566892
1510	chr17:60677409-60677435-	NoOverlap	chr17	60677409	60677435	-	5.47728888889	9	1.0	-0.816777777778	6.29406666667	NA	0.0775678289981	0.62396183157
1511	chr17:61487509-61487547+	NoOverlap	chr17	61487509	61487547	+	4.60661538462	13	0.9505	-4.28008461538	8.8867	NA	0.0773873739767	0.796359990704
1512	chr17:75785008-75785067-	NoOverlap	chr17	75785008	75785067	-	2.09201	20	0.974	1.060385	1.031625	NA	0.0770993774485	0.423125465855
1513	chr17:38605800-38605844+	NoOverlap	chr17	38605800	38605844	+	1.38912	15	0.3834	1.6379	-0.24878	NA	0.0769844693293	0.33366191831
1514	chr17:46818882-46818908-	NoOverlap	chr17	46818882	46818908	-	7.10982222222	9	0.8994	-11.3840555556	18.4938777778	NA	0.0769663695827	1.04222635547
1515	chr17:50533916-50533951+	NoOverlap	chr17	50533916	50533951	+	9.26696666667	12	0.9064	8.24895	1.01801666667	NA	0.0769475699186	0.311475278207
1516	chr17:80467595-80467639-	NoOverlap	chr17	80467595	80467639	-	3.70346666667	15	0.9578	-2.97663333333	6.6801	NA	0.0768867824402	0.70040563805
1517	chr17:79183370-79183465+	Extension	chr17	79183370	79183465	+	1.25048125	32	0.7329	-4.305303125	5.555784375	chr17:79183280-79183465+	0.0768103007662	0.760578731819
1518	chr17:29593843-29593881-	NoOverlap	chr17	29593843	29593881	-	5.82870769231	13	0.9444	0.195984615385	5.63272307692	NA	0.0766545233099	0.618261718357
1519	chr17:64919469-64919507+	NoOverlap	chr17	64919469	64919507	+	1.08983076923	13	0.3793	1.10668461538	-0.0168538461538	NA	0.0766316540169	0.338329175106
1520	chr17:62966416-62966475-	NoOverlap	chr17	62966416	62966475	-	3.260345	20	0.4031	1.82859	1.431755	NA	0.0764417080755	0.437222133453
1521	chr17:21042836-21042898-	Extension	chr17	21042836	21042898	-	7.36834285714	21	0.4433	4.34673333333	3.02160952381	chr17:21042650-21042898-	0.0763849594497	0.513552120692
1522	chr17:65742888-65742914+	NoOverlap	chr17	65742888	65742914	+	7.27965555556	9	0.9243	-6.82562222222	14.1052777778	NA	0.0759814726684	0.965587552467
1523	chr17:48555577-48555684+	NoOverlap	chr17	48555577	48555684	+	0.158102777778	36	0.8147	-1.02392777778	1.18203055556	NA	0.0758705556249	0.539014066265
1524	chr17:18681744-18681770-	NoOverlap	chr17	18681744	18681770	-	13.3455333333	9	0.6829	-3.38162222222	16.7271555556	NA	0.07576039885	1.01188442126
1525	chr17:62966388-62966450+	NoOverlap	chr17	62966388	62966450	+	1.94889047619	21	0.4011	-0.363576190476	2.31246666667	NA	0.0757468333561	0.502914555874
1526	chr17:29292907-29292933-	NoOverlap	chr17	29292907	29292933	-	14.8274222222	9	0.5969	6.0399	8.78752222222	NA	0.0756304525394	0.690078575709
1527	chr17:2594123-2594203-	NoOverlap	chr17	2594123	2594203	-	2.99257777778	27	0.7858	0.582144444444	2.41043333333	NA	0.0754782296736	0.541771712261
1528	chr17:1006769-1006795-	NoOverlap	chr17	1006769	1006795	-	13.9546444444	9	0.5512	-1.34823333333	15.3028777778	NA	0.0752744305167	0.973886481134
1529	chr17:77365891-77365935+	NoOverlap	chr17	77365891	77365935	+	6.50966	15	0.9168	4.45204	2.05762	NA	0.0749539144483	0.416529159734
1530	chr17:46426707-46426733+	NoOverlap	chr17	46426707	46426733	+	7.38747777778	9	0.9466	-2.56304444444	9.95052222222	NA	0.0748998563338	0.805749769446
1531	chr17:49361933-49362034+	NoOverlap	chr17	49361933	49362034	+	1.44261176471	34	0.4215	-0.0575235294118	1.50013529412	NA	0.074757346794	0.538492490878
1532	chr17:29293039-29293140-	NoOverlap	chr17	29293039	29293140	-	1.45659705882	34	0.754	0.658232352941	0.798364705882	NA	0.0745764517498	0.496795438003
1533	chr17:47694007-47694039+	NoOverlap	chr17	47694007	47694039	+	7.55559090909	11	0.4174	1.62079090909	5.9348	NA	0.0745384437217	0.608325992602
1534	chr17:59619875-59619943-	NoOverlap	chr17	59619875	59619943	-	0.0984652173913	23	0.9818	-1.98686086957	2.08532608696	NA	0.0744750323546	0.5121843994
1535	chr17:68601127-68601153-	NoOverlap	chr17	68601127	68601153	-	14.1983111111	9	0.4984	5.52878888889	8.66952222222	NA	0.0744723746931	0.689448770976
1536	chr17:64662118-64662159+	NoOverlap	chr17	64662118	64662159	+	4.58856428571	14	0.3985	2.89817142857	1.69039285714	NA	0.0743709260451	0.403773055365
1537	chr17:66834793-66834828+	NoOverlap	chr17	66834793	66834828	+	6.63545	12	0.4058	4.41354166667	2.22190833333	NA	0.0742921144198	0.403859109689
1538	chr17:38425846-38425881+	NoOverlap	chr17	38425846	38425881	+	6.28220833333	12	0.9498	0.944025	5.33818333333	NA	0.0742216230553	0.590281968267
1539	chr17:40332183-40332242-	NoOverlap	chr17	40332183	40332242	-	0.559815	20	0.991	-2.83707	3.396885	NA	0.0741822123032	0.562842256665
1540	chr17:8186867-8186947-	NoOverlap	chr17	8186867	8186947	-	1.05724814815	27	0.9104	-0.816162962963	1.87341111111	NA	0.0740052146365	0.520208860596
1541	chr17:7844094-7844183+	NoOverlap	chr17	7844094	7844183	+	0.0266633333333	30	0.9077	-2.01311	2.03977333333	NA	0.0739939303102	0.552802629029
1542	chr17:76264907-76264948-	NoOverlap	chr17	76264907	76264948	-	5.05333571429	14	0.961	1.73274285714	3.32059285714	NA	0.0739196054943	0.495112440137
1543	chr17:57987700-57987759-	NoOverlap	chr17	57987700	57987759	-	4.933515	20	0.8181	-0.342915	5.27643	NA	0.0737837734447	0.657191278362
1544	chr17:7853991-7854020+	NoOverlap	chr17	7853991	7854020	+	7.11766	10	0.9565	0.77185	6.34581	NA	0.0736451450569	0.626054193898
1545	chr17:48123326-48123370+	NoOverlap	chr17	48123326	48123370	+	3.6107	15	0.9961	3.20696	0.40374	NA	0.073598465595	0.346434731391
1546	chr17:56593790-56593828-	NoOverlap	chr17	56593790	56593828	-	10.4558923077	13	0.6507	3.47642307692	6.97946923077	NA	0.0734827771429	0.667214361656
1547	chr17:50862555-50862608-	NoOverlap	chr17	50862555	50862608	-	1.44391666667	18	0.9883	-2.45477222222	3.89868888889	NA	0.0734456954261	0.57439799584
1548	chr17:39540797-39540847+	NoOverlap	chr17	39540797	39540847	+	2.58695882353	17	1.0	2.96082941176	-0.373870588235	NA	0.0734209593629	0.325403264675
1549	chr17:57988407-57988508-	NoOverlap	chr17	57988407	57988508	-	1.30987352941	34	0.7356	-0.935982352941	2.24585588235	NA	0.0733427480306	0.583402985293
1550	chr17:55285638-55285673+	NoOverlap	chr17	55285638	55285673	+	4.70409166667	12	0.9915	1.25163333333	3.45245833333	NA	0.073340686119	0.49058939919
1551	chr17:62966441-62966503+	NoOverlap	chr17	62966441	62966503	+	2.0365	21	0.4037	-0.0979238095238	2.13442380952	NA	0.0731140269774	0.492225062273
1552	chr17:48610955-48611023+	NoOverlap	chr17	48610955	48611023	+	0.100947826087	23	0.9807	-1.98823913043	2.08918695652	NA	0.0728796121643	0.512382978078
1553	chr17:47868910-47868954+	NoOverlap	chr17	47868910	47868954	+	3.71615333333	15	0.9792	0.864	2.85215333333	NA	0.072524828917	0.483707643901
1554	chr17:17783885-17783911+	NoOverlap	chr17	17783885	17783911	+	8.17633333333	9	0.9572	2.8479	5.32843333333	NA	0.072471684844	0.550461125237
1555	chr17:2401058-2401171-	NoOverlap	chr17	2401058	2401171	-	-1.16739736842	38	0.8901	0.0605684210526	-1.22796578947	NA	0.0724709014086	0.42825400418
1556	chr17:44212666-44212725-	NoOverlap	chr17	44212666	44212725	-	1.49296	20	0.9686	-1.998865	3.491825	NA	0.0724212094803	0.565231898168
1557	chr17:47650097-47650174+	NoOverlap	chr17	47650097	47650174	+	2.00701538462	26	0.8587	-1.82846153846	3.83547692308	NA	0.0722110642879	0.623849548876
1558	chr17:51202034-51202096+	NoOverlap	chr17	51202034	51202096	+	0.215657142857	21	1.0	-1.17342857143	1.38908571429	NA	0.072169698494	0.461864768203
1559	chr17:79183442-79183495-	NoOverlap	chr17	79183442	79183495	-	6.25672222222	18	0.7453	-0.834277777778	7.091	NA	0.0720881300341	0.741469671404
1560	chr17:76721262-76721321+	NoOverlap	chr17	76721262	76721321	+	0.932555	20	0.9994	0.459085	0.47347	NA	0.0719338335512	0.401818968971
1561	chr17:62547819-62547857+	NoOverlap	chr17	62547819	62547857	+	9.73467692308	13	0.8153	7.20057692308	2.5341	NA	0.0719176701691	0.404480123066
1562	chr17:2075910-2075939+	NoOverlap	chr17	2075910	2075939	+	5.21668	10	0.9814	-2.58454	7.80122	NA	0.071902910858	0.714827238938
1563	chr17:28506233-28506283-	NoOverlap	chr17	28506233	28506283	-	2.06356470588	17	0.9906	-0.849758823529	2.91332352941	NA	0.0717759259984	0.510275640953
1564	chr17:46818606-46818650-	NoOverlap	chr17	46818606	46818650	-	2.99196666667	15	0.9853	-1.18795333333	4.17992	NA	0.0715786529551	0.563534087424
1565	chr17:32480895-32480951-	NoOverlap	chr17	32480895	32480951	-	2.05869473684	19	0.9726	-0.385563157895	2.44425789474	NA	0.0714761912813	0.496928474432
1566	chr17:67377386-67377454+	NoOverlap	chr17	67377386	67377454	+	4.93376521739	23	0.6774	-0.241947826087	5.17571304348	NA	0.0714165679073	0.673805927839
1567	chr17:36721717-36721761+	NoOverlap	chr17	36721717	36721761	+	2.43954666667	15	1.0	-0.988626666667	3.42817333333	NA	0.071328956264	0.523759208296
1568	chr17:42676071-42676154+	NoOverlap	chr17	42676071	42676154	+	-1.69394642857	28	0.9828	-2.98467857143	1.29073214286	NA	0.0712437749233	0.508192344699
1569	chr17:67366359-67366385-	NoOverlap	chr17	67366359	67366385	-	7.48827777778	9	0.9494	-1.25157777778	8.73985555556	NA	0.0711855955455	0.74538637546
1570	chr17:12547935-12547961+	NoOverlap	chr17	12547935	12547961	+	6.1928	9	1.0	2.76801111111	3.42478888889	NA	0.0711516826986	0.45541496626
1571	chr17:38572827-38572919+	NoOverlap	chr17	38572827	38572919	+	3.22930967742	31	0.6723	2.37365806452	0.855651612903	NA	0.0710988494105	0.469953835161
1572	chr17:39563657-39563713+	NoOverlap	chr17	39563657	39563713	+	1.60486842105	19	0.9913	0.609121052632	0.995747368421	NA	0.0710794502504	0.419005971355
1573	chr17:8162944-8163024+	NoOverlap	chr17	8162944	8163024	+	3.27701481481	27	0.7136	-0.484096296296	3.76111111111	NA	0.0709656492309	0.622365491441
1574	chr17:82244834-82244869-	NoOverlap	chr17	82244834	82244869	-	4.56676666667	12	0.974	-2.16056666667	6.72733333333	NA	0.0709207356274	0.676616126767
1575	chr17:49788637-49788684-	NoOverlap	chr17	49788637	49788684	-	1.3601	16	0.9992	-3.95853125	5.31863125	NA	0.0706251914014	0.637240734092
1576	chr17:47531584-47531673+	NoOverlap	chr17	47531584	47531673	+	1.91122	30	0.42	1.24895666667	0.662263333333	NA	0.0705182424378	0.462265175433
1577	chr17:51259818-51259916-	NoOverlap	chr17	51259818	51259916	-	-0.564227272727	33	0.9087	-0.715348484848	0.151121212121	NA	0.0704340881114	0.469190247136
1578	chr17:28911215-28911274+	NoOverlap	chr17	28911215	28911274	+	1.006375	20	0.9994	0.970225	0.03615	NA	0.0702721573198	0.377959220289
1579	chr17:49575642-49575671+	NoOverlap	chr17	49575642	49575671	+	12.22905	10	0.7841	8.11023	4.11882	NA	0.070213535265	0.452578165212
1580	chr17:7307921-7308019-	NoOverlap	chr17	7307921	7308019	-	2.2447	33	0.6893	0.746127272727	1.49857272727	NA	0.0699390621704	0.527669152872
1581	chr17:62966150-62966254+	NoOverlap	chr17	62966150	62966254	+	3.11736571429	35	0.4429	1.60927428571	1.50809142857	NA	0.0699092999945	0.534523999933
1582	chr17:48908435-48908518-	NoOverlap	chr17	48908435	48908518	-	1.38438928571	28	0.8853	0.334392857143	1.04999642857	NA	0.0697657282137	0.476868984018
1583	chr17:7404839-7404940-	NoOverlap	chr17	7404839	7404940	-	1.12309117647	34	0.7815	0.785682352941	0.337408823529	NA	0.0697529797062	0.472266810069
1584	chr17:40063333-40063416+	NoOverlap	chr17	40063333	40063416	+	2.68888928571	28	0.7333	-1.03972857143	3.72861785714	NA	0.0695645688534	0.628987534406
1585	chr17:30710101-30710244+	NoOverlap	chr17	30710101	30710244	+	1.837325	48	0.4507	1.75082708333	0.0864979166667	NA	0.0695627836278	0.527065431167
1586	chr17:81961182-81961298+	NoOverlap	chr17	81961182	81961298	+	1.06456153846	39	0.4323	-0.196356410256	1.26091794872	NA	0.0690060353078	0.55531057324
1587	chr17:63723297-63723329-	NoOverlap	chr17	63723297	63723329	-	4.40647272727	11	1.0	-0.0226	4.42907272727	NA	0.0689035678876	0.540980801537
1588	chr17:73612106-73612165-	NoOverlap	chr17	73612106	73612165	-	2.66678	20	0.9377	-0.50938	3.17616	NA	0.0688082732531	0.542502053547
1589	chr17:8186354-8186428-	NoOverlap	chr17	8186354	8186428	-	1.560172	25	0.9104	-0.786804	2.346976	NA	0.0687106827518	0.532456265168
1590	chr17:80545257-80545283+	NoOverlap	chr17	80545257	80545283	+	12.7856888889	9	0.6997	-0.657888888889	13.4435777778	NA	0.068544653543	0.921840528999
1591	chr17:2755592-2755618+	NoOverlap	chr17	2755592	2755618	+	6.30984444444	9	0.405	2.52135555556	3.78848888889	NA	0.0682668331651	0.475466356181
1592	chr17:79839328-79839390+	NoOverlap	chr17	79839328	79839390	+	2.86362380952	21	0.4161	-0.746671428571	3.6102952381	NA	0.0681297133605	0.573834340807
1593	chr17:58006694-58006735+	NoOverlap	chr17	58006694	58006735	+	5.83779285714	14	0.8716	-5.53625	11.3740428571	NA	0.0681190196712	0.915082806155
1594	chr17:40443319-40443354+	NoOverlap	chr17	40443319	40443354	+	7.34715833333	12	0.8827	-2.676375	10.0235333333	NA	0.0680984642401	0.837071639013
1595	chr17:68019896-68019955-	NoOverlap	chr17	68019896	68019955	-	2.85691	20	0.93	-0.48838	3.34529	NA	0.0679864410116	0.551472993352
1596	chr17:46193272-46193310+	NoOverlap	chr17	46193272	46193310	+	2.58044615385	13	0.3974	-1.13222307692	3.71266923077	NA	0.0678991344343	0.525082335479
1597	chr17:28042494-28042535-	NoOverlap	chr17	28042494	28042535	-	2.89557142857	14	1.0	-0.45595	3.35152142857	NA	0.0676506500413	0.510208073158
1598	chr17:57256805-57256882-	Extension	chr17	57256805	57256882	-	3.11975	26	0.4268	0.755080769231	2.36466923077	chr17:57256715-57256882-	0.067550621921	0.531885712182
1599	chr17:44219227-44219280-	NoOverlap	chr17	44219227	44219280	-	4.72157777778	18	0.4145	4.45516666667	0.266411111111	NA	0.0675453764377	0.346044590728
1600	chr17:40093024-40093080+	Extension	chr17	40093024	40093080	+	1.02056315789	19	0.9991	-0.305984210526	1.32654736842	chr17:40093024-40093281+	0.0674866853255	0.441350280618
1601	chr17:48192610-48192648-	NoOverlap	chr17	48192610	48192648	-	4.32460769231	13	0.9955	3.01467692308	1.30993076923	NA	0.0674545766397	0.378192436114
1602	chr17:2088301-2088327-	NoOverlap	chr17	2088301	2088327	-	9.03654444444	9	0.9592	7.40442222222	1.63212222222	NA	0.067394448221	0.326327121053
1603	chr17:80545096-80545131+	NoOverlap	chr17	80545096	80545131	+	10.1999333333	12	0.7497	4.10881666667	6.09111666667	NA	0.0673663758912	0.607304524148
1604	chr17:44191968-44192048-	NoOverlap	chr17	44191968	44192048	-	-0.57472962963	27	0.9761	0.286588888889	-0.861318518519	NA	0.0672369273229	0.383118566268
1605	chr17:46193491-46193595-	NoOverlap	chr17	46193491	46193595	-	2.73155428571	35	0.4439	0.732188571429	1.99936571429	NA	0.0671779378449	0.56731880771
1606	chr17:2401732-2401776+	NoOverlap	chr17	2401732	2401776	+	2.39138666667	15	0.9931	-2.00119333333	4.39258	NA	0.0671483660056	0.577708203533
1607	chr17:73766199-73766237-	NoOverlap	chr17	73766199	73766237	-	9.9469	13	0.6812	4.577	5.3699	NA	0.0670214665214	0.57539497514
1608	chr17:47650768-47650815+	NoOverlap	chr17	47650768	47650815	+	3.05808125	16	0.9675	-1.49341875	4.5515	NA	0.06699994742	0.591591139633
1609	chr17:50201712-50201756-	NoOverlap	chr17	50201712	50201756	-	3.84075333333	15	0.9905	3.96077333333	-0.12002	NA	0.0668626747031	0.315957830013
1610	chr17:57256774-57256905-	NoOverlap	chr17	57256774	57256905	-	0.692093181818	44	0.4377	0.0241954545455	0.667897727273	NA	0.0668317351374	0.550202321525
1611	chr17:78125629-78125658+	NoOverlap	chr17	78125629	78125658	+	9.97194	10	0.4612	0.70042	9.27152	NA	0.0662519066183	0.767300778804
1612	chr17:44196080-44196127+	NoOverlap	chr17	44196080	44196127	+	1.37843125	16	0.995	-4.1826375	5.56106875	NA	0.0662335418901	0.650021056392
1613	chr17:62478982-62479158-	NoOverlap	chr17	62478982	62479158	-	0.812877966102	59	0.4678	-0.556925423729	1.36980338983	NA	0.0658369854228	0.662334965075
1614	chr17:58004029-58004088+	NoOverlap	chr17	58004029	58004088	+	0.613245	20	0.9931	-1.40829	2.021535	NA	0.0655958330033	0.487686733503
1615	chr17:65561617-65561700+	NoOverlap	chr17	65561617	65561700	+	3.54585714286	28	0.6871	2.13251428571	1.41334285714	NA	0.0653239944585	0.4838950389
1616	chr17:76721200-76721235+	NoOverlap	chr17	76721200	76721235	+	4.918875	12	0.9784	0.6696	4.249275	NA	0.0652551047481	0.535233757298
1617	chr17:49575840-49575923+	NoOverlap	chr17	49575840	49575923	+	2.56497142857	28	0.6858	-3.51862857143	6.0836	NA	0.0652279875469	0.764852788284
1618	chr17:8227000-8227065+	NoOverlap	chr17	8227000	8227065	+	-0.577022727273	22	0.9988	-2.74815909091	2.17113636364	NA	0.0651250375161	0.513673841924
1619	chr17:9021519-9021653+	NoOverlap	chr17	9021519	9021653	+	2.30994888889	45	0.5631	-0.0149911111111	2.32494	NA	0.0650052840344	0.645132484158
1620	chr17:7484798-7484830-	NoOverlap	chr17	7484798	7484830	-	3.83873636364	11	0.9861	-4.52256363636	8.3613	NA	0.0649249527947	0.753821026022
1621	chr17:44219222-44219278+	NoOverlap	chr17	44219222	44219278	+	4.33236842105	19	0.4174	4.08718947368	0.245178947368	NA	0.0648492369193	0.354086889359
1622	chr17:49576739-49576783-	NoOverlap	chr17	49576739	49576783	-	5.93894666667	15	0.8508	-3.94229333333	9.88124	NA	0.0647626851504	0.859811286022
1623	chr17:44220853-44221026-	NoOverlap	chr17	44220853	44221026	-	1.49989655172	58	0.5655	2.86769482759	-1.36779827586	NA	0.0647582121238	0.49351965912
1624	chr17:78925063-78925122-	NoOverlap	chr17	78925063	78925122	-	3.65068	20	0.4216	0.318115	3.332565	NA	0.0646991553646	0.546942863189
1625	chr17:81399534-81399605+	NoOverlap	chr17	81399534	81399605	+	4.19725416667	24	0.4365	1.05785833333	3.13939583333	NA	0.0644206966405	0.560228867873
1626	chr17:40090316-40090387-	NoOverlap	chr17	40090316	40090387	-	0.395529166667	24	0.9645	-0.765920833333	1.16145	NA	0.0643997266617	0.466032850635
1627	chr17:43707025-43707054+	NoOverlap	chr17	43707025	43707054	+	6.41896	10	0.9777	2.53595	3.88301	NA	0.0643121296011	0.487898246614
1628	chr17:37727505-37727537+	NoOverlap	chr17	37727505	37727537	+	3.69104545455	11	0.9991	-2.68281818182	6.37386363636	NA	0.0642728165989	0.651765123871
1629	chr17:16151489-16151551+	NoOverlap	chr17	16151489	16151551	+	0.21749047619	21	0.9993	-0.434547619048	0.652038095238	NA	0.0639489939558	0.422615109861
1630	chr17:61946031-61946093+	NoOverlap	chr17	61946031	61946093	+	0.57060952381	21	0.9713	-3.35150952381	3.92211904762	NA	0.0638787980214	0.598012816673
1631	chr17:7591738-7591797+	NoOverlap	chr17	7591738	7591797	+	0.456315	20	0.9989	-0.9378	1.394115	NA	0.0638632484941	0.454704704849
1632	chr17:61252201-61252269-	NoOverlap	chr17	61252201	61252269	-	-1.07699130435	23	0.9975	-3.65275217391	2.57576086957	NA	0.0638105569302	0.542744220144
1633	chr17:7311830-7311865-	NoOverlap	chr17	7311830	7311865	-	6.00120833333	12	0.9374	-1.06051666667	7.061725	NA	0.0637256230334	0.68977877057
